name,rate_of_the_hotel,location_rating,comfort,staff,desk_24/7,rate_of_facilities,swimming_pool,bar,wifi,value_for_money,parking,Elevator,Cleanliness,Babysitting_Child_services,Sauna,pets,Wheelchair_accessible,safe,city,sum of facilities,sum of services
Zedwell Piccadilly Circus,7.6,9.6,8.2,8.2,0,7.4,0,0,1,7.8,0,1,8.2,0,0,0,0,0,London,1,1
Yotel London Shoreditch,7.7,8.5,8.1,8.6,1,7.9,0,1,1,7.5,0,1,8.2,0,0,0,1,1,London,3,3
Middle Eight - Preferred Hotels and Resorts,8.9,9.6,9.5,9.2,0,9.2,0,1,1,8.3,1,1,9.4,0,0,1,1,1,London,4,3
The Guardsman - Preferred Hotels and Resorts,8.9,9.4,9.5,9.3,0,9.1,0,1,1,8.4,1,1,9.4,0,0,1,1,1,London,4,3
The Montague On The Gardens,9.1,9.6,9.4,9.7,0,9.0,0,1,1,8.4,1,1,9.4,1,0,1,0,1,London,4,3
Egerton House,9.3,9.7,9.7,9.8,0,9.2,1,1,1,8.7,1,1,9.6,1,0,1,0,1,London,5,3
The Chesterfield Mayfair,8.9,9.7,9.3,9.6,0,8.9,0,1,1,8.5,1,1,9.3,1,0,1,0,1,London,4,3
citizenM London Victoria Station,8.8,9.5,9.2,9.4,1,9.0,0,1,1,8.2,0,1,9.3,0,0,0,1,1,London,3,3
Leonardo Royal London St Paul’s,8.4,9.3,8.9,8.8,1,8.7,1,1,1,7.9,1,1,8.8,0,1,0,0,1,London,6,2
Marlin Waterloo,7.9,9.2,8.2,8.3,0,8.0,0,1,1,7.6,1,1,8.1,0,0,0,1,0,London,3,2
NYX Hotel London Holborn by Leonardo Hotels,8.4,9.3,8.9,8.6,1,8.7,1,1,1,8.0,0,1,8.9,0,1,0,1,1,London,5,3
Clayton Hotel City of London,8.7,9.0,9.1,9.1,1,8.8,0,1,1,8.4,0,1,9.1,0,0,0,0,1,London,3,2
citizenM London Bankside,8.6,9.2,9.0,9.4,0,8.8,1,1,1,8.3,0,1,9.1,0,0,0,1,1,London,4,2
